Date,OpeningPrice,HighestPrice,LowestPrice,ClosingPrice,Volume,MarketCap
2019-01-01,0.28,0.29,0.28,0.29,102923262.89,7587836809.12
2019-01-02,0.29,0.31,0.29,0.31,166126272.97,8071370636.89
2019-01-03,0.31,0.31,0.29,0.29,144975334.15,7593659597.99
2019-01-04,0.29,0.3,0.29,0.3,110118731.25,7806098029.17
2019-01-05,0.3,0.31,0.3,0.31,172433586.49,7961699168.56
2019-01-06,0.31,0.34,0.31,0.34,352861534.43,8773615358.23
2019-01-07,0.34,0.35,0.33,0.33,313852107.23,8548237391.82
2019-01-08,0.33,0.34,0.32,0.33,237224619.82,8619322361.4
2019-01-09,0.33,0.36,0.33,0.36,379418569.96,9269544948.26
2019-01-10,0.35,0.37,0.29,0.3,621426946.71,7869966434.46
2019-01-11,0.3,0.31,0.29,0.3,244131300.61,7770052088.49
2019-01-12,0.3,0.3,0.29,0.3,123246455.29,7662979045.79
2019-01-13,0.3,0.3,0.27,0.27,147147310.85,7055822925.89
2019-01-14,0.27,0.3,0.27,0.3,204709011.08,7725402372.76
2019-01-15,0.3,0.3,0.28,0.29,165846806.46,7512246389.56
2019-01-16,0.29,0.31,0.29,0.3,239890467.42,7849031169.23
2019-01-17,0.3,0.31,0.3,0.31,258272302.56,7939226012.94
2019-01-18,0.31,0.31,0.3,0.3,128325363.87,7785951200.71
2019-01-19,0.3,0.31,0.3,0.31,160368793.79,8040823991.72
2019-01-20,0.31,0.31,0.29,0.29,181366940.63,7641242531.71
2019-01-21,0.3,0.3,0.29,0.29,112419179.53,7546375694.0
2019-01-22,0.29,0.3,0.28,0.3,156112397.25,7680994868.89
2019-01-23,0.3,0.3,0.29,0.29,103761425.21,7572366461.24
2019-01-24,0.29,0.3,0.29,0.29,84492371.09,7576716283.91
2019-01-25,0.29,0.29,0.29,0.29,85967580.65,7513799800.9
2019-01-26,0.29,0.29,0.29,0.29,91448011.37,7462365610.83
2019-01-27,0.29,0.29,0.28,0.28,140608843.34,7203264407.95
2019-01-28,0.28,0.28,0.25,0.26,202694822.01,6782620905.26
2019-01-29,0.26,0.27,0.25,0.26,131710345.4,6689490259.44
2019-01-30,0.26,0.27,0.25,0.27,176075443.45,6922447598.47
2019-01-31,0.27,0.27,0.25,0.26,149255795.59,6682470853.74
2019-02-01,0.26,0.26,0.25,0.26,125829928.35,6719573109.78
2019-02-02,0.26,0.27,0.26,0.27,83045344.86,6875661493.21
2019-02-03,0.26,0.27,0.26,0.26,87284146.0,6650391594.65
2019-02-04,0.26,0.26,0.25,0.26,82509636.89,6620219511.04
2019-02-05,0.26,0.26,0.25,0.26,90031648.71,6627013253.69
2019-02-06,0.26,0.26,0.24,0.25,117032549.76,6411428305.03
2019-02-07,0.25,0.25,0.25,0.25,83803057.54,6364770392.99
2019-02-08,0.25,0.28,0.24,0.27,220591842.17,7126296595.3
2019-02-09,0.28,0.28,0.27,0.28,124976858.97,7179958983.35
2019-02-10,0.28,0.29,0.27,0.29,152662120.1,7489741305.26
2019-02-11,0.29,0.29,0.28,0.28,120377051.0,7297983845.39
2019-02-12,0.28,0.29,0.28,0.28,101160760.23,7352594662.14
2019-02-13,0.28,0.29,0.28,0.28,86275049.52,7221505390.95
2019-02-14,0.28,0.28,0.27,0.27,77259810.21,7105787348.68
2019-02-15,0.27,0.28,0.27,0.27,90314710.11,7128673286.47
2019-02-16,0.28,0.28,0.27,0.28,75166750.54,7204405357.99
2019-02-17,0.28,0.28,0.28,0.28,103465032.92,7279300760.71
2019-02-18,0.28,0.32,0.28,0.31,249555178.11,8008587288.95
2019-02-19,0.31,0.32,0.31,0.31,288010467.02,8097949985.25
2019-02-20,0.31,0.32,0.31,0.32,172980209.32,8332438145.59
2019-02-21,0.32,0.32,0.3,0.3,168783176.97,7836505588.65
2019-02-22,0.3,0.31,0.3,0.31,118885568.86,8043069204.41
2019-02-23,0.31,0.33,0.31,0.33,185749232.97,8459078382.96
2019-02-24,0.33,0.34,0.28,0.29,346793848.73,7390708367.75
2019-02-25,0.28,0.3,0.28,0.3,165787763.01,7667054196.15
2019-02-26,0.29,0.29,0.29,0.29,111319839.45,7510535440.53
2019-02-27,0.29,0.29,0.28,0.29,122925743.61,7516783308.46
2019-02-28,0.29,0.29,0.29,0.29,98158861.07,7476721270.61
2019-03-01,0.29,0.3,0.29,0.29,87000280.95,7511169381.23
2019-03-02,0.29,0.29,0.28,0.29,75810907.4,7448635631.41
2019-03-03,0.29,0.29,0.28,0.28,73848737.77,7357150682.98
2019-03-04,0.28,0.28,0.27,0.27,123987373.53,7059802797.62
2019-03-05,0.27,0.29,0.27,0.29,140528524.8,7514326502.05
2019-03-06,0.29,0.29,0.28,0.29,102098745.58,7450799038.43
2019-03-07,0.29,0.29,0.29,0.29,115453780.36,7473113519.99
2019-03-08,0.29,0.29,0.29,0.29,136417370.82,7427870949.81
2019-03-09,0.29,0.32,0.29,0.31,350765900.57,8143216608.07
2019-03-10,0.31,0.31,0.3,0.31,184606144.4,7963769310.37
2019-03-11,0.31,0.33,0.3,0.32,367891784.92,8301103541.8
2019-03-12,0.32,0.32,0.31,0.32,237774596.84,8265956896.41
2019-03-13,0.32,0.33,0.31,0.31,200284025.56,8103406387.21
2019-03-14,0.31,0.32,0.31,0.32,175837677.6,8356653891.58
2019-03-15,0.32,0.34,0.32,0.34,287274582.05,8728813290.75
2019-03-16,0.34,0.35,0.33,0.35,299535138.02,8985168940.49
2019-03-17,0.35,0.35,0.34,0.34,193821730.33,8739036137.39
2019-03-18,0.34,0.34,0.33,0.34,249745687.11,8782151217.16
2019-03-19,0.34,0.36,0.33,0.35,309406159.68,9153987836.99
2019-03-20,0.35,0.36,0.34,0.36,317950185.84,9378341370.89
2019-03-21,0.36,0.37,0.34,0.35,445482718.92,9181879537.78
2019-03-22,0.35,0.4,0.35,0.39,802681176.54,10084905037.18
2019-03-23,0.39,0.43,0.38,0.43,926122356.01,11109352377.22
2019-03-24,0.43,0.43,0.4,0.41,688213358.49,10747584948.27
2019-03-25,0.42,0.42,0.39,0.4,502169005.27,10281017810.81
2019-03-26,0.4,0.42,0.4,0.42,531384517.26,10849597537.88
2019-03-27,0.42,0.46,0.41,0.45,761466116.56,11769493385.55
2019-03-28,0.45,0.45,0.44,0.44,526467710.76,11481476185.57
2019-03-29,0.44,0.49,0.44,0.48,848474370.62,12455863160.26
2019-03-30,0.48,0.49,0.46,0.48,637020270.52,12484259976.7
2019-03-31,0.48,0.48,0.47,0.47,454885800.07,12137392739.88
2019-04-01,0.47,0.49,0.46,0.49,549293071.61,12587177483.35
2019-04-02,0.49,0.57,0.48,0.57,1350855272.29,14871999310.91
2019-04-03,0.57,0.67,0.57,0.61,2023308185.25,15814622412.07
2019-04-04,0.61,0.63,0.56,0.59,1226641251.83,15202932316.89
2019-04-05,0.59,0.62,0.59,0.61,824142562.34,15888464882.76
2019-04-06,0.61,0.63,0.59,0.61,770225625.29,15726148599.01
2019-04-07,0.61,0.61,0.59,0.61,677192006.9,15760172537.18
2019-04-08,0.61,0.62,0.56,0.58,906773074.98,15154750646.63
2019-04-09,0.58,0.58,0.55,0.56,825302474.44,14583785441.86
2019-04-10,0.56,0.62,0.56,0.6,882084148.52,15655330347.38
2019-04-11,0.6,0.61,0.52,0.56,1099165061.74,14520187924.44
2019-04-12,0.56,0.57,0.54,0.56,741631030.53,14540460700.87
2019-04-13,0.56,0.57,0.56,0.56,481065472.6,14554147992.69
2019-04-14,0.56,0.57,0.55,0.57,553195443.13,14712703879.54
2019-04-15,0.57,0.57,0.55,0.55,493148264.31,14307081630.38
2019-04-16,0.55,0.56,0.54,0.56,442525106.55,14572940134.17
2019-04-17,0.56,0.57,0.55,0.56,444423457.34,14457323798.03
2019-04-18,0.56,0.56,0.54,0.55,468283458.44,14180305506.4
2019-04-19,0.55,0.55,0.52,0.53,554485219.46,13828847641.06
2019-04-20,0.53,0.53,0.51,0.51,518989785.38,13298747803.59
2019-04-21,0.51,0.52,0.48,0.5,598716004.46,12881572765.78
2019-04-22,0.5,0.53,0.48,0.52,606589623.62,13565259486.1
2019-04-23,0.52,0.54,0.5,0.5,675638900.91,12963954038.65
2019-04-24,0.5,0.51,0.46,0.49,607467922.07,12667969513.88
2019-04-25,0.49,0.51,0.46,0.47,648918739.8,12067735230.0
2019-04-26,0.47,0.48,0.45,0.47,561213328.15,12101558213.21
2019-04-27,0.47,0.48,0.46,0.47,337571896.68,12247836088.56
2019-04-28,0.47,0.48,0.46,0.46,289237072.03,11967676904.93
2019-04-29,0.46,0.46,0.43,0.43,466288704.88,11277162184.94
2019-04-30,0.44,0.47,0.44,0.47,424138590.31,12280698657.57
2019-05-01,0.47,0.48,0.45,0.46,396452166.09,12051029855.88
2019-05-02,0.46,0.47,0.46,0.46,371245000.37,11974987937.74
2019-05-03,0.46,0.48,0.46,0.47,523481844.96,12198282426.97
2019-05-04,0.47,0.48,0.44,0.45,508248541.22,11677917412.65
2019-05-05,0.45,0.46,0.44,0.45,330660734.68,11549768949.97
2019-05-06,0.45,0.46,0.43,0.45,406025426.76,11660429406.76
2019-05-07,0.45,0.46,0.43,0.43,362920254.7,11230897115.46
2019-05-08,0.43,0.44,0.42,0.44,275178003.52,11351697747.34
2019-05-09,0.44,0.44,0.41,0.42,409061382.13,10849266567.82
2019-05-10,0.42,0.44,0.4,0.43,600320682.42,11227861380.5
2019-05-11,0.43,0.54,0.43,0.51,1277818330.7,13299762530.69
2019-05-12,0.51,0.52,0.47,0.48,962353390.7,12400113060.4
2019-05-13,0.48,0.52,0.47,0.5,851406945.47,12928518941.64
2019-05-14,0.5,0.58,0.5,0.58,1321162135.84,15070144538.7
2019-05-15,0.58,0.65,0.57,0.65,1426703661.03,16749001837.17
2019-05-16,0.65,0.69,0.58,0.61,1863332631.05,15717288673.31
2019-05-17,0.61,0.63,0.53,0.57,1435468076.86,14859735250.57
2019-05-18,0.58,0.59,0.55,0.55,805893146.09,14189418567.63
